sku,quantity,spec,incoterms
P-1001,5000,SS304 2mm,FOB
P-2001,12000,Plastic ABS,EXW
P-3001,8000,Copper grade C110,DDP
P-4001,20000,Aluminium 6061,CIF
P-5001,10000,Brass CW614N,FOB
P-1001,50000,SS304 2mm,CIF
P-2001,2500,Plastic ABS,EXW
P-3001,12000,Copper grade C110,DDP
P-4001,8000,Aluminium 6061,FOB
P-5001,5000,Brass CW614N,CIF
P-1001,20000,SS304 2mm,EXW
P-2001,10000,Plastic ABS,DDP
P-3001,5000,Copper grade C110,FOB
P-4001,12000,Aluminium 6061,CIF
P-5001,8000,Brass CW614N,EXW
P-1001,15000,SS304 2mm,DDP
P-2001,6000,Plastic ABS,FOB
P-3001,30000,Copper grade C110,CIF
P-4001,5000,Aluminium 6061,EXW
P-5001,20000,Brass CW614N,DDP
P-1001,8000,SS304 2mm,FOB
P-2001,20000,Plastic ABS,CIF
P-3001,10000,Copper grade C110,EXW
P-4001,50000,Aluminium 6061,DDP
P-5001,25000,Brass CW614N,FOB
